database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	HeLa1	HeLa2	HeLa3	HeLa4	HeLa5	HeLa6	HeLa7	HeLa8	HeLa9	HeLa10	HeLa11	HeLa12	RAW1	RAW2	RAW3	RAW4	RAW5	RAW6	RAW7	RAW8	RAW9	RAW10	RAW11	RAW12
CHEBI:37574	C12H17N4O4PS	Cc1ncc(C[n+]2csc(CCOP(O)([O-])=O)c2C)c(N)n1	InChI=1S/C12H17N4O4PS/c1-8-11(3-4-20-21(17,18)19)22-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7H,3-4,6H2,1-2H3,(H3-,13,14,15,17,18,19)	Thiamine monophosphate	342.055		M-H		7.34												3036647	2583904	2958819	2815165	2658371	3338207	2902393	2785750	2804126	2799797	2949213	2881423	3738904	3345910	3396026	3033931	3168394	3372956	3968632	3487591	2959526	3390280	3621220	3012587
CHEBI:27897	C11H12N2O2	NC(Cc1c[nH]c2ccccc12)C(O)=O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Tryptophan	203.082		M-H		7.15												42646431	43389665	43530651	42129417	36062540	45017870	42451955	43505519	41264251	42558383	43639350	41281674	20877121	22177726	20038310	19799077	19269135	19856266	23915646	20404884	20210945	20844235	20103619	20236402
CHEBI:18186	C9H11NO3	NC(Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)	Tyrosine	180.066		M-H		8.26												67196657	70768689	69793406	68259091	56156117	74082422	65274349	65071787	62699720	62712256	64831961	64749316	45415710	45313817	40904011	38843110	37805426	39584648	42827945	41979155	36983551	39935349	39322218	37974261
CHEBI:17659	C9H14N2O12P2	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	UDP	402.994		M-H		12.06												2876196	3504308	3096794	1545912	1520600	1980430	2579544	3608612	1198013	2672381	1499851	1507839	5696979	6883071	6248937	2192034	3031467	3420767	5414876	6916630	6680688	2566369	2360810	3491079
CHEBI:18066	C15H24N2O17P2	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14?/m1/s1	UDP glucose	565.047		M-H		11.6												63944932	78815724	70057591	33977360	32556180	42403201	59429249	73090189	31322996	62321039	33866783	34585874	108481282	120982559	108317182	38662486	45222961	56800750	101775753	121683000	118797801	43080557	42407309	54493855
CHEBI:16264	C17H27N3O17P2	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1	UDP N acetylglucosamine	606.073		M-H		11.18												89119275	119962306	105478801	59006007	49508287	69080618	100208229	120901397	55315767	101292480	64057300	60856383	127349378	135426287	119244746	35987511	44234545	53896099	205269605	244249016	206072410	62361579	63389217	86497023
CHEBI:16695	C9H13N2O9P	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	UMP	323.028		M-H		11.05												954141	1054992	1005984	908206	876830	1023277	960321	1041369	878470	983221	896632	867764	2133656	1918841	1857090	1442053	1804845	1934331	2159480	2474380	2135000	1837620	2150249	2306620
CHEBI:16704	C9H12N2O6	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1	Uridine	243.062		M-H		3.8												8019031	8638520	7521446	7004608	5865408	7769510	7084141	7233528	5401148	6790458	6884118	6540107	2003266	2117944	2061019	1537151	1678369	1856624	2310093	2226826	1891338	1834980	1874416	2196956
CHEBI:15713	C9H15N2O15P3	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C9H15N2O15P3/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	UTP	482.961		M-H		13.05												3312662	5102574	5002728	1310939	2264046	1399803	5476385	6935564	1181817	5806591	1882593	1412610	3361487	5316896	4247818	2305765	4946480	4837072	5146452	5898497	5653121	5940525	3770475	5080269
CHEBI:27266	C5H11NO2	CC(C)C(N)C(O)=O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)	Valine	116.071		M-H		7.87												104783760	106016835	107239663	105354971	85883917	120398698	105693261	104745127	102157268	101577109	109256637	107623747	89024849	86392655	85211988	71653964	69887093	76605832	91802212	87679323	74845706	77744526	80200725	74934199
